from_addr,sh_tx,delay_h,sh_amt,un_amt,amt_ratio,self_bc,tok,from_in_ppoi,sh_tx_in_ppoi,any_ppoi_hit,is_forced_candidate,is_candidate_loose
0x04df94b9d1531df01da3c0ad322c8a2e3cecdc88,0x795b110abfb507060b024fcf07b4be2d6b6e8376e327d0e2806c2dcb70f87d03,165.87333333333333,7.400774180138115,7.381593704950861,0.997408315032942,False,WETH,False,False,False,False,False
0x352c937dd4b564887d19dcf396fb9438ac4343de,0xc889724d7bfe178b3f6ae687a142ada12ace5b3a05c54dade3cd7eceaf680afb,193.44,0.005789917107179,0.0029925,0.5168467777007648,False,WETH,False,False,False,False,False
0xc8f5e193045808dbf190ac084cc1c72ae846a5d4,0xc1d8e68ec5c0971a96c73d95d6467d14da9ddc351bf2cff1bc0ee9fe1a0a590b,1.9633333333333334,0.0009975,0.0009945075,0.997,True,WETH,False,False,False,True,True
0xe62d534ebae8a22453fbe8d25addfb49381dcf0f,0xb6ce570ac5968287ae8e33ce8ce880577a36f5cef9c04f7ae27df5accdbbf9d1,392.9633333333333,0.3372313337335759,0.9163195192155036,2.7171838069454926,False,WETH,False,False,False,False,False
0xe62d534ebae8a22453fbe8d25addfb49381dcf0f,0x386080d6af55fd5057070087cf3b36b71672a1f2c35f89ad7c238a6f5edbd8e5,403.6,0.7627222936920022,0.9163195192155036,1.201380275355536,False,WETH,False,False,False,False,False
0x64df09f570b88f74c02632b772c7b2e2ca0cd5e7,0xd3ca0f33f48bbe6120d9393eaf1999e1b34949743ba6c2959908618d978f33fa,1.71,0.0111034695850198,0.0094886051384166,0.8545621767828421,False,WETH,False,False,False,False,False
0xe62d534ebae8a22453fbe8d25addfb49381dcf0f,0x3398d5c9fa1e9e69e9d25dbb16c82ca330bf42461fed21aa193792e3501ec845,419.74333333333334,0.9125310524508652,0.9163195192155036,1.0041516031202045,False,WETH,False,False,False,False,False
0x929e4d29d5e41ece4885150946eab6e67e8b0b79,0xac0c4f82d8e8063e0c409a7405923e52a0ad006db690d93ab45d51ecd63245ea,652.8133333333334,0.0229425,0.2,8.717445788384003,False,WETH,False,False,False,False,False
0x929e4d29d5e41ece4885150946eab6e67e8b0b79,0xac0c4f82d8e8063e0c409a7405923e52a0ad006db690d93ab45d51ecd63245ea,694.7133333333334,0.0229425,0.1,4.3587228941920015,False,WETH,False,False,False,False,False
0x6614e9cce73552037e45bb99a77dc731fcfad1a7,0x092ef4e408ed635aefcf130a129a3aef73be38cc3a62e5e4ff069fd83d2b8233,5.96,0.15,0.149625,0.9975,True,WETH,False,False,False,False,True
